date,time,matchday,home_team,away_team,city,stadium,status,result
2026-06-28,01:30,3,Congo DR,Uzbekistan,Atlanta,Mercedes-Benz Stadium,À jouer,
2026-06-28,04:00,3,Algeria,Austria,Kansas City,Arrowhead Stadium,À jouer,
2026-06-28,04:00,3,Jordan,Argentina,Dallas,AT&T Stadium,À jouer,
2026-06-28,21:00,,TBD Home (Round of 32 #1),TBD Away (Round of 32 #1),,,À jouer,
2026-06-29,19:00,,TBD Home (Round of 32 #2),TBD Away (Round of 32 #2),,,À jouer,
2026-06-29,22:30,,TBD Home (Round of 32 #3),TBD Away (Round of 32 #3),,,À jouer,
2026-06-30,03:00,,TBD Home (Round of 32 #4),TBD Away (Round of 32 #4),,,À jouer,
2026-06-30,19:00,,TBD Home (Round of 32 #5),TBD Away (Round of 32 #5),,,À jouer,
2026-06-30,23:00,,TBD Home (Round of 32 #6),TBD Away (Round of 32 #6),,,À jouer,
2026-07-01,03:00,,TBD Home (Round of 32 #7),TBD Away (Round of 32 #7),,,À jouer,
2026-07-01,18:00,,TBD Home (Round of 32 #8),TBD Away (Round of 32 #8),,,À jouer,
2026-07-01,22:00,,TBD Home (Round of 32 #9),TBD Away (Round of 32 #9),,,À jouer,
2026-07-02,02:00,,TBD Home (Round of 32 #10),TBD Away (Round of 32 #10),,,À jouer,
2026-07-02,21:00,,TBD Home (Round of 32 #11),TBD Away (Round of 32 #11),,,À jouer,
2026-07-03,01:00,,TBD Home (Round of 32 #12),TBD Away (Round of 32 #12),,,À jouer,
2026-07-03,05:00,,TBD Home (Round of 32 #13),TBD Away (Round of 32 #13),,,À jouer,
2026-07-03,20:00,,TBD Home (Round of 32 #14),TBD Away (Round of 32 #14),,,À jouer,
2026-07-04,00:00,,TBD Home (Round of 32 #15),TBD Away (Round of 32 #15),,,À jouer,
2026-07-04,03:30,,TBD Home (Round of 32 #16),TBD Away (Round of 32 #16),,,À jouer,
2026-07-04,19:00,,TBD Home (Round of 16 #1),TBD Away (Round of 16 #1),,,À jouer,
2026-07-04,23:00,,TBD Home (Round of 16 #2),TBD Away (Round of 16 #2),,,À jouer,
2026-07-05,22:00,,TBD Home (Round of 16 #3),TBD Away (Round of 16 #3),,,À jouer,
2026-07-06,02:00,,TBD Home (Round of 16 #4),TBD Away (Round of 16 #4),,,À jouer,
2026-07-06,21:00,,TBD Home (Round of 16 #5),TBD Away (Round of 16 #5),,,À jouer,
2026-07-07,02:00,,TBD Home (Round of 16 #6),TBD Away (Round of 16 #6),,,À jouer,
2026-07-07,18:00,,TBD Home (Round of 16 #7),TBD Away (Round of 16 #7),,,À jouer,
2026-07-07,22:00,,TBD Home (Round of 16 #8),TBD Away (Round of 16 #8),,,À jouer,
2026-07-09,22:00,,TBD Home (Quarter-finals #1),TBD Away (Quarter-finals #1),,,À jouer,
2026-07-10,21:00,,TBD Home (Quarter-finals #2),TBD Away (Quarter-finals #2),,,À jouer,
2026-07-11,23:00,,TBD Home (Quarter-finals #3),TBD Away (Quarter-finals #3),,,À jouer,
2026-07-12,03:00,,TBD Home (Quarter-finals #4),TBD Away (Quarter-finals #4),,,À jouer,
2026-07-14,21:00,,TBD Home (Semi-finals #1),TBD Away (Semi-finals #1),,,À jouer,
2026-07-15,21:00,,TBD Home (Semi-finals #2),TBD Away (Semi-finals #2),,,À jouer,
2026-07-18,23:00,,TBD Home (3rd Place Final #1),TBD Away (3rd Place Final #1),,,À jouer,
2026-07-19,21:00,,TBD Home (Final #1),TBD Away (Final #1),,,À jouer,
